10.4,9.291
9.95,8.622
9.46,8.057
9.41,7.925
26.3,58.704
32.1,34.416
19.3,22.263
22,29.587
35.5,60.253
51,93.951
65.5,69.503
32,40.514
64.3,106.753
69.1,60.325
94.6,142.159
99,77.439
58.2,57.103
34.1,42.697
59.8,79.028
48,70.19
42.6,88.489
66.6,74.365
41.4,101.231
124,138.304
70,62.332
35.4,43.343
33.2,39.664
36.3,61.693
33.9,43.674
25.8,31.682
22.1,26.37
20.2,21.884
18.4,19.046
16.9,17.181
15.8,15.511
14.9,14.625
15.5,14.918
15.8,14.1
14.9,12.959
14.6,13.352
14.7,13.52
14.4,13.019
13.4,11.879
11.9,10.437
11.4,9.913
10.8,9.478
10.4,8.969
10.3,8.846
9.84,8.552
9.46,8.719
8.87,8.013
8.52,7.723
8.71,7.497
8.5,7.268
8.48,7.078
8.88,8.167
9.45,8.87
8.59,7.842
8.94,7.604
11.5,7.539
12.5,7.599
10.9,7.571
11.2,9.979
21.8,18.978
15.6,13.159
11.8,10.379
10.5,9.187
9.58,8.292
8.99,7.826
9.03,7.783
8.95,7.741
9.01,8.101
9.18,9.854
9.29,12.636
10.7,11.597
8.23,8.606
7.75,8.516
9.71,10.637
7.87,8.405
8.08,8.753
7.87,8.37
7.23,7.543
6.75,6.864
6.51,6.529
6.37,6.349
6.48,6.315
7.31,8.001
7.59,8.062
7.29,7.27
7.11,6.801
9.05,9.408
17.9,45.864
58.6,64.776
14.1,16.599
45.3,70.041
63.5,46.38
25.5,25.626
22.6,25.381
33.1,23.8
19.6,17.473
15,13.984
13.4,11.856
12,11.106
11.9,28.253
25.6,36.554
18.6,19.74
16.4,18.456
14.3,14.608
12.7,14.354
15.6,17.31
43,60.588
55.3,37.16
17.3,16.25
14.3,12.918
12.4,10.971
11.2,12.668
10.2,9.636
9.43,9.117
8.8,8.712
8.32,7.874
8.04,7.381
7.74,7.01
7.38,6.741
7.17,6.371
7.89,8.689
8.66,11.126
8.4,8.803
7.95,10.275
120,188.751
155,72.276
73,68.591
107,102.646
81.2,64.309
37.8,34.209
25.5,29.53
42.1,44.007
27.5,26.427
19.6,19.746
16.2,15.911
14.1,13.704
13,12.549
12.5,12.163
12.2,12.318
11.5,11.922
11.4,16.532
57.2,110.011
32.1,48.409
17.4,28.533
14.5,21.31
12.5,15.941
10.8,12.733
9.62,10.713
8.72,9.44
8.17,8.629
7.85,8.028
7.7,7.799
8.28,8.481
8.4,9.491
8.02,8.933
8.85,9.177
9.11,9.542
8.26,8.291
7.55,7.873
7.54,11.416
10.9,15.848
8.62,12.47
7.33,9.312
6.66,7.689
6.62,7.691
6.38,6.799
6.24,6.364
6.4,5.959
5.9,5.491
5.6,5.181
5.3,4.885
5.18,4.699
5.01,4.783
5.14,5.128
4.89,4.578
4.79,4.503
4.64,4.408
4.57,4.471
4.23,4.306
4.1,4.211
4.57,9.089
5.33,6.895
4.5,5.429
4.27,4.838
4.11,4.644
4.39,4.709
5.07,5.293
6.81,12.089
9.18,11.168
6.39,8.352
7.54,43.204
12.2,21.002
9.01,23.605
6.88,11.16
5.57,18.208
13.3,23.265
7.93,12.301
6.6,14.695
6.69,13.129
6.53,15.087
5.96,9.86
5.12,7.786
4.8,6.65
4.44,6.167
4.46,5.764
4.29,8.176
9.76,17.887
54.8,86.657
55.1,34.227
15.7,17.907
12.1,16.391
15.4,18.675
16.2,15.087
17.2,33.505
27.5,28.493
16,18.254
11.1,11.973
12.4,15.612
12.1,12.258
9.26,9.114
7.98,7.763
7.04,6.885
6.35,6.334
5.86,5.953
5.51,5.614
5.48,5.499
5.32,5.268
5.2,5.085
5,4.947
4.82,4.779
4.65,4.684
4.53,4.619
4.38,4.428
4.28,4.313
4.26,4.218
4.12,4.198
4.12,4.083
4.04,4.035
3.98,3.994
